race_id,driver_id,constructor_id,grid
1,1,1,1
1,2,1,4
1,3,2,2
1,4,2,3
1,6,3,6
1,5,3,8
1,7,4,5
1,8,4,7
1,9,5,9
1,10,5,10
2,1,1,1
2,2,1,2
2,3,2,4
2,6,3,3
2,4,2,6
2,5,3,5
2,7,4,7
2,8,4,8
2,9,5,10
2,10,5,9
3,3,2,1
3,2,1,2
3,4,2,4
3,1,1,6
3,6,3,3
3,5,3,5
3,8,4,8
3,10,5,10
3,9,5,9
3,7,4,7
4,1,1,1
4,2,1,2
4,3,2,3
4,6,3,5
4,4,2,4
4,8,4,7
4,5,3,6
4,7,4,8
4,9,5,9
4,10,5,10
5,5,3,5
5,2,1,1
5,4,2,2
5,3,2,3
5,1,1,4
5,6,3,6
5,7,4,7
5,8,4,8
5,10,5,10
5,9,5,9
6,6,3,1
6,2,1,3
6,4,2,5
6,3,2,7
6,5,3,6
6,8,4,4
6,10,5,10
6,9,5,9
6,1,1,2
6,7,4,8
7,2,1,2
7,1,1,1
7,3,2,5
7,4,2,4
7,6,3,3
7,5,3,6
7,7,4,7
7,8,4,9
7,10,5,8
7,9,5,10
8,4,2,3
8,2,1,1
8,1,1,2
8,3,2,4
8,7,4,5
8,6,3,6
8,5,3,8
8,8,4,7
8,10,5,10
8,9,5,9
9,2,1,4
9,1,1,2
9,3,2,3
9,6,3,1
9,4,2,7
9,5,3,8
9,10,5,5
9,9,5,6
9,8,4,9
9,7,4,10
10,1,1,1
10,2,1,5
10,6,3,3
10,5,3,2
10,3,2,4
10,4,2,6
10,7,4,7
10,8,4,9
10,9,5,10
10,10,5,8
11,2,1,1
11,1,1,2
11,3,2,5
11,6,3,4
11,4,2,3
11,5,3,6
11,8,4,7
11,7,4,9
11,9,5,8
11,10,5,10
12,2,1,2
12,1,1,4
12,3,2,1
12,6,3,5
12,5,3,6
12,7,4,7
12,8,4,8
12,4,2,3
12,10,5,9
12,9,5,10
13,2,1,1
13,1,1,2
13,4,2,5
13,3,2,3
13,6,3,7
13,5,3,4
13,8,4,6
13,10,5,9
13,9,5,10
13,7,4,8
14,2,1,3
14,3,2,8
14,4,2,4
14,6,3,2
14,10,5,10
14,7,4,5
14,9,5,9
14,1,1,1
14,5,3,6
14,8,4,7
15,2,1,1
15,1,1,2
15,8,4,7
15,4,2,4
15,6,3,8
15,3,2,3
15,5,3,5
15,7,4,9
15,10,5,6
15,9,5,10
16,1,1,1
16,5,3,4
16,2,1,2
16,6,3,3
16,4,2,6
16,8,4,7
16,3,2,5
16,7,4,8
16,9,5,9
16,10,5,10
17,1,1,2
17,2,1,1
17,3,2,4
17,4,2,3
17,7,4,7
17,5,3,6
17,6,3,5
17,8,4,8
17,10,5,9
17,9,5,10
18,1,1,2
18,6,3,3
18,2,1,1
18,3,2,6
18,4,2,4
18,5,3,5
18,8,4,8
18,7,4,7
18,10,5,10
18,9,5,9
19,2,1,1
19,3,2,5
19,1,1,4
19,6,3,3
19,4,2,6
19,5,3,2
19,7,4,8
19,8,4,7
19,9,5,9
19,10,5,10
20,1,1,1
20,4,2,3
20,6,3,6
20,2,1,2
20,3,2,5
20,5,3,4
20,7,4,7
20,10,5,8
20,8,4,10
20,9,5,9
21,1,1,1
21,3,2,2
21,2,1,4
21,6,3,7
21,5,3,3
21,4,2,5
21,7,4,8
21,8,4,6
21,10,5,10
21,9,5,9
22,1,1,3
22,2,1,4
22,3,2,1
22,4,2,2
22,6,3,8
22,7,4,7
22,5,3,5
22,8,4,6
22,9,5,9
22,10,5,10
23,2,1,2
23,4,2,3
23,6,3,4
23,1,1,1
23,5,3,6
23,3,2,5
23,8,4,9
23,7,4,7
23,10,5,8
23,9,5,10
24,2,1,2
24,1,1,1
24,4,2,5
24,6,3,3
24,5,3,6
24,7,4,8
24,8,4,7
24,10,5,10
24,3,2,4
24,9,5,9
25,2,1,2
25,3,2,4
25,1,1,1
25,4,2,5
25,7,4,9
25,10,5,10
25,8,4,7
25,9,5,6
25,5,3,3
25,6,3,8
26,2,1,2
26,1,1,1
26,3,2,5
26,7,4,3
26,8,4,4
26,5,3,7
26,6,3,8
26,9,5,9
26,10,5,10
26,4,2,6
27,1,1,1
27,2,1,2
27,6,3,3
27,3,2,5
27,8,4,8
27,4,2,4
27,7,4,6
27,9,5,9
27,10,5,10
27,5,3,7
28,1,1,3
28,2,1,1
28,6,3,4
28,3,2,2
28,5,3,6
28,7,4,7
28,4,2,5
28,8,4,8
28,10,5,10
28,9,5,9
29,2,1,1
29,3,2,5
29,1,1,2
29,4,2,3
29,5,3,7
29,6,3,4
29,7,4,9
29,10,5,6
29,9,5,10
29,8,4,8
30,1,1,1
30,2,1,2
30,3,2,3
30,5,3,7
30,4,2,5
30,8,4,8
30,7,4,6
30,6,3,4
30,10,5,9
30,9,5,10
31,1,1,2
31,2,1,1
31,4,2,4
31,6,3,5
31,3,2,7
31,5,3,6
31,7,4,3
31,8,4,9
31,9,5,8
31,10,5,10
32,1,1,1
32,2,1,2
32,3,2,3
32,6,3,4
32,4,2,6
32,5,3,7
32,8,4,8
32,7,4,5
32,10,5,10
32,9,5,9
33,1,1,1
33,2,1,2
33,3,2,4
33,5,3,5
33,4,2,3
33,8,4,6
33,7,4,8
33,6,3,7
33,9,5,10
33,10,5,9
34,1,1,1
34,2,1,3
34,6,3,2
34,5,3,4
34,3,2,6
34,4,2,5
34,8,4,8
34,10,5,9
34,9,5,10
34,7,4,7
35,2,1,3
35,1,1,1
35,3,2,2
35,6,3,5
35,5,3,6
35,8,4,8
35,7,4,7
35,10,5,10
35,9,5,9
35,4,2,4
36,1,1,1
36,2,1,4
36,6,3,5
36,3,2,2
36,7,4,3
36,4,2,7
36,8,4,9
36,10,5,10
36,9,5,8
36,5,3,6
37,1,1,1
37,3,2,2
37,2,1,3
37,6,3,4
37,7,4,8
37,8,4,7
37,4,2,5
37,5,3,6
37,10,5,10
37,9,5,9
38,3,2,1
38,1,1,5
38,2,1,2
38,4,2,4
38,6,3,6
38,8,4,7
38,10,5,9
38,9,5,10
38,7,4,8
38,5,3,3
39,2,1,2
39,1,1,1
39,3,2,4
39,6,3,7
39,5,3,3
39,4,2,5
39,8,4,6
39,7,4,9
39,10,5,8
39,9,5,10
40,1,1,1
40,2,1,2
40,3,2,3
40,4,2,4
40,8,4,7
40,6,3,8
40,7,4,5
